IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
166079406,OTHER OFFENSES,OBSCENE PHONE CALLS(S),Friday,4/1/16,10:44,BAYVIEW,NONE,0 Block of JENNINGS CT,-122.3975737,37.71708636,"(37.7170863571601, -122.397573658842)",1.66E+13
166079365,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,20:41,PARK,NONE,ASHBURY ST / FREDERICK ST,-122.4463689,37.76721914,"(37.7672191396641, -122.446368892548)",1.66E+13
166079337,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,18:30,PARK,NONE,WALLER ST / ASHBURY ST,-122.4467463,37.76907533,"(37.7690753300241, -122.446746271794)",1.66E+13
166078602,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,19:30,CENTRAL,NONE,BAY ST / MIDWAY ST,-122.4094925,37.80613061,"(37.8061306089443, -122.409492478232)",1.66E+13
166078486,NON-CRIMINAL,LOST PROPERTY,Friday,4/1/16,13:30,CENTRAL,NONE,100 Block of CALIFORNIA ST,-122.3981953,37.79337819,"(37.7933781865757, -122.398195272702)",1.66E+13
166078191,NON-CRIMINAL,LOST PROPERTY,Friday,4/1/16,11:28,SOUTHERN,NONE,MARKET ST / VANNESS AV,-122.4192579,37.77514629,"(37.7751462916539, -122.419257894814)",1.66E+13
166078135,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,22:00,SOUTHERN,NONE,BRYANT ST / THE EMBARCADEROSOUTH ST,-122.3880074,37.78710272,"(37.7871027247566, -122.388007401911)",1.66E+13
166078107,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,4/1/16,1:23,SOUTHERN,NONE,200 Block of INTERSTATE80 HY,-122.3655654,37.8096707,"(37.8096707013239, -122.365565425353)",1.66E+13
166078094,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,4/1/16,14:55,SOUTHERN,NONE,1100 Block of FOLSOM ST,-122.4086859,37.77615581,"(37.7761558110245, -122.408685885018)",1.66E+13
166078050,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,4/1/16,23:00,SOUTHERN,NONE,7TH ST / FOLSOM ST,-122.4078441,37.77674622,"(37.7767462195389, -122.407844136792)",1.66E+13
166078022,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,4/1/16,8:10,SOUTHERN,NONE,0 Block of 8TH ST,-122.4136846,37.77779846,"(37.7777984628537, -122.413684555167)",1.66E+13
